Palavra,Link,Instituicao
ABRIR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abrir1Sm_Prog001.mp4,GoiásLibras · base nacional
ABRIR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abrir2Sm_Prog001.mp4,GoiásLibras · base nacional
ABRIR3,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abrir3Sm_Prog001.mp4,GoiásLibras · base nacional
ABRIR4,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abrir4Sm_Prog001.mp4,GoiásLibras · base nacional
ABRIR5,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abrir5Sm_Prog001.mp4,GoiásLibras · base nacional
ABSOLVER,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/absolverSm_Prog001.mp4,GoiásLibras · base nacional
ABSORVENTE HIGIÊNICO,https://dicionario.ines.gov.br/public/media/palavras/videos/absorvente-higienicoSm_Prog001.mp4,GoiásLibras · base nacional
ABSORVER1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/absorver1Sm_Prog001.mp4,GoiásLibras · base nacional
ABSORVER2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/absorver2Sm_Prog001.mp4,GoiásLibras · base nacional
ABSTER,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/absterSm_Prog001.mp4,GoiásLibras · base nacional
ABSURDO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/absurdo1Sm_Prog001.mp4,GoiásLibras · base nacional
ABUSADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abusadoSm_Prog001.mp4,GoiásLibras · base nacional
ABUSAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abusarSm_Prog001.mp4,GoiásLibras · base nacional
ABÓBORA1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abobora1Sm_Prog001.mp4,GoiásLibras · base nacional
ABÓBORA2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/abobora2Sm_Prog001.mp4,GoiásLibras · base nacional
ACABAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acabar1Sm_Prog001.mp4,GoiásLibras · base nacional
ACABAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acabar2Sm_Prog001.mp4,GoiásLibras · base nacional
ACABAR3,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acabar3Sm_Prog001.mp4,GoiásLibras · base nacional
ACABAR4,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acabar4Sm_Prog001.mp4,GoiásLibras · base nacional
ACALENTAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acalentarSm_Prog001.mp4,GoiásLibras · base nacional
ACALMAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/acalmar1Sm_Prog001.mp4,GoiásLibras · base nacional
